id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
393961,Rental unit in Vienna · ★4.56 · 2 bedrooms · 1 bed · 0 baths,1833176,Markus,,Innere Stadt,48.21318,16.37486,Entire home/apt,149,3,86,2023-08-17,0.69,4,91,17,
228698,Rental unit in Vienna · ★5.0 · 1 bedroom · 4 beds · 1 bath,1193729,Anneliese,,Penzing,48.20841,16.2454,Entire home/apt,110,3,6,2023-05-30,0.37,2,62,3,
397617,Condo in Vienna · ★4.77 · 1 bedroom · 1 bed · 1 bath,1986417,Mave,,Favoriten,48.17437,16.39339,Entire home/apt,200,3,179,2023-01-28,1.30,1,89,1,
229535,Rental unit in Vienna · ★4.57 · 1 bedroom · 3 beds · 1 bath,1108400,Dan,,Leopoldstadt,48.21353530883789,16.377519607543945,Entire home/apt,110,1,549,2023-08-20,3.78,21,294,44,
234613,Rental unit in Vienna · ★4.44 · Studio · 2 beds · 1 bath,1108400,Dan,,Leopoldstadt,48.21269,16.37841,Entire home/apt,62,1,738,2023-08-29,5.18,21,180,57,
404083,Rental unit in Vienna · ★4.64 · 1 bedroom · 3 beds · 1 bath,2015270,Christoph,,Leopoldstadt,48.2184,16.39906,Entire home/apt,89,2,262,2023-08-26,1.90,2,19,36,
235805,Rental unit in Vienna · ★4.88 · 2 bedrooms · 3 beds · 1 bath,150784775,Jennifer,,Innere Stadt,48.20541,16.36867,Entire home/apt,172,3,131,2023-08-18,0.99,3,44,27,
404657,Condo in Vienna · ★4.70 · 1 bedroom · 1 bed · 1 bath,1693552,Joseph,,Mariahilf,48.19447,16.35099,Entire home/apt,73,180,61,2023-04-23,0.73,1,236,3,
422021,Rental unit in Vienna · ★4.36 · 1 bedroom · 1 bed · 1 bath,518644,Michael,,Margareten,48.19353,16.36057,Entire home/apt,56,1,69,2023-07-09,0.74,35,344,13,
422063,Rental unit in Vienna · ★4.63 · 1 bedroom · 1 bed · 1.5 baths,518644,Michael,,Margareten,48.19536,16.35912,Private room,41,30,27,2022-10-31,0.48,35,0,1,
429729,Rental unit in Vienna · ★4.52 · 1 bedroom · 2 beds · 1.5 baths,518644,Michael,,Margareten,48.19407,16.35876,Entire home/apt,68,30,24,2020-09-13,0.17,35,361,0,
429820,Rental unit in Vienna · ★4.41 · 1 bedroom · 1 bed · 1.5 shared baths,518644,Michael,,Margareten,48.19465,16.36058,Private room,29,30,23,2023-06-06,0.17,35,335,3,
